ID,Year,Date,Stage,Home Team,Home Goals,Away Goals,Away Team,Win Conditions,Host Team
1,1930,1930-07-13,Group stage,France,4,1,Mexico,France wins,False
2,1930,1930-07-13,Group stage,United States,3,0,Belgium,United States wins,False
3,1930,1930-07-14,Group stage,Yugoslavia,2,1,Brazil,Yugoslavia wins,False
4,1930,1930-07-14,Group stage,Romania,3,1,Peru,Romania wins,False
5,1930,1930-07-15,Group stage,Argentina,1,0,France,Argentina wins,False
6,1930,1930-07-16,Group stage,Chile,3,0,Mexico,Chile wins,False
7,1930,1930-07-17,Group stage,Yugoslavia,4,0,Bolivia,Yugoslavia wins,False
8,1930,1930-07-17,Group stage,United States,3,0,Paraguay,United States wins,False
9,1930,1930-07-18,Group stage,Uruguay,1,0,Peru,Uruguay wins,True
10,1930,1930-07-19,Group stage,Chile,1,0,France,Chile wins,False
11,1930,1930-07-19,Group stage,Argentina,6,3,Mexico,Argentina wins,False
12,1930,1930-07-20,Group stage,Brazil,4,0,Bolivia,Brazil wins,False
13,1930,1930-07-20,Group stage,Paraguay,1,0,Belgium,Paraguay wins,False
14,1930,1930-07-21,Group stage,Uruguay,4,0,Romania,Uruguay wins,True
15,1930,1930-07-22,Group stage,Argentina,3,1,Chile,Argentina wins,False
16,1930,1930-07-26,Semi-finals,Argentina,6,1,United States,Argentina wins,False
17,1930,1930-07-27,Semi-finals,Uruguay,6,1,Yugoslavia,Uruguay wins,True
18,1930,1930-07-30,Final,Uruguay,4,2,Argentina,Uruguay wins,True
19,1934,1934-05-27,Round of 16,Austria,3,2,France,Extra time,False
20,1934,1934-05-27,Round of 16,Hungary,4,2,Egypt,Hungary wins,False
21,1934,1934-05-27,Round of 16,Switzerland,3,2,Netherlands,Switzerland wins,False
22,1934,1934-05-27,Round of 16,Sweden,3,2,Argentina,Sweden wins,False
23,1934,1934-05-27,Round of 16,Germany,5,2,Belgium,Germany wins,False
24,1934,1934-05-27,Round of 16,Spain,3,1,Brazil,Spain wins,False
